REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCKENXX02,S2D2,2020,0.08
GLOBAL,ELCKENXX02,S2D2,2021,0.08
GLOBAL,ELCKENXX02,S2D2,2022,0.08
GLOBAL,ELCKENXX02,S2D2,2023,0.08
GLOBAL,ELCKENXX02,S2D2,2024,0.08
GLOBAL,ELCKENXX02,S2D2,2025,0.08
GLOBAL,ELCKENXX02,S2D2,2026,0.08
GLOBAL,ELCKENXX02,S2D2,2027,0.08
GLOBAL,ELCKENXX02,S2D2,2028,0.08
GLOBAL,ELCKENXX02,S2D2,2029,0.08
GLOBAL,ELCKENXX02,S2D2,2030,0.08
GLOBAL,ELCKENXX02,S2D2,2031,0.08
GLOBAL,ELCKENXX02,S2D2,2032,0.08
GLOBAL,ELCKENXX02,S2D2,2033,0.08
GLOBAL,ELCKENXX02,S2D2,2034,0.08
GLOBAL,ELCKENXX02,S2D2,2035,0.08
GLOBAL,ELCKENXX02,S2D2,2036,0.08
GLOBAL,ELCKENXX02,S2D2,2037,0.08
GLOBAL,ELCKENXX02,S2D2,2038,0.08
GLOBAL,ELCKENXX02,S2D2,2039,0.08
GLOBAL,ELCKENXX02,S2D2,2040,0.08
GLOBAL,ELCKENXX02,S3D1,2020,0.17
GLOBAL,ELCKENXX02,S3D1,2021,0.17
GLOBAL,ELCKENXX02,S3D1,2022,0.17
GLOBAL,ELCKENXX02,S3D1,2023,0.17
GLOBAL,ELCKENXX02,S3D1,2024,0.17
GLOBAL,ELCKENXX02,S3D1,2025,0.17
GLOBAL,ELCKENXX02,S3D1,2026,0.17
GLOBAL,ELCKENXX02,S3D1,2027,0.17
GLOBAL,ELCKENXX02,S3D1,2028,0.17
GLOBAL,ELCKENXX02,S3D1,2029,0.17
GLOBAL,ELCKENXX02,S3D1,2030,0.17
GLOBAL,ELCKENXX02,S3D1,2031,0.17
GLOBAL,ELCKENXX02,S3D1,2032,0.17
GLOBAL,ELCKENXX02,S3D1,2033,0.17
GLOBAL,ELCKENXX02,S3D1,2034,0.17
GLOBAL,ELCKENXX02,S3D1,2035,0.17
GLOBAL,ELCKENXX02,S3D1,2036,0.17
GLOBAL,ELCKENXX02,S3D1,2037,0.17
GLOBAL,ELCKENXX02,S3D1,2038,0.17
GLOBAL,ELCKENXX02,S3D1,2039,0.17
GLOBAL,ELCKENXX02,S3D1,2040,0.17
GLOBAL,ELCKENXX02,S3D2,2020,0.17
GLOBAL,ELCKENXX02,S3D2,2021,0.17
GLOBAL,ELCKENXX02,S3D2,2022,0.17
GLOBAL,ELCKENXX02,S3D2,2023,0.17
GLOBAL,ELCKENXX02,S3D2,2024,0.17
GLOBAL,ELCKENXX02,S3D2,2025,0.17
GLOBAL,ELCKENXX02,S3D2,2026,0.17
GLOBAL,ELCKENXX02,S3D2,2027,0.17
GLOBAL,ELCKENXX02,S3D2,2028,0.17
GLOBAL,ELCKENXX02,S3D2,2029,0.17
GLOBAL,ELCKENXX02,S3D2,2030,0.17
GLOBAL,ELCKENXX02,S3D2,2031,0.17
GLOBAL,ELCKENXX02,S3D2,2032,0.17
GLOBAL,ELCKENXX02,S3D2,2033,0.17
GLOBAL,ELCKENXX02,S3D2,2034,0.17
GLOBAL,ELCKENXX02,S3D2,2035,0.17
GLOBAL,ELCKENXX02,S3D2,2036,0.17
GLOBAL,ELCKENXX02,S3D2,2037,0.17
GLOBAL,ELCKENXX02,S3D2,2038,0.17
GLOBAL,ELCKENXX02,S3D2,2039,0.17
GLOBAL,ELCKENXX02,S3D2,2040,0.17
GLOBAL,ELCKENXX02,S4D1,2020,0.13
GLOBAL,ELCKENXX02,S4D1,2021,0.13
GLOBAL,ELCKENXX02,S4D1,2022,0.13
GLOBAL,ELCKENXX02,S4D1,2023,0.13
GLOBAL,ELCKENXX02,S4D1,2024,0.13
GLOBAL,ELCKENXX02,S4D1,2025,0.13
GLOBAL,ELCKENXX02,S4D1,2026,0.13
GLOBAL,ELCKENXX02,S4D1,2027,0.13
GLOBAL,ELCKENXX02,S4D1,2028,0.13
GLOBAL,ELCKENXX02,S4D1,2029,0.13
GLOBAL,ELCKENXX02,S4D1,2030,0.13
GLOBAL,ELCKENXX02,S4D1,2031,0.13
GLOBAL,ELCKENXX02,S4D1,2032,0.13
GLOBAL,ELCKENXX02,S4D1,2033,0.13
GLOBAL,ELCKENXX02,S4D1,2034,0.13
GLOBAL,ELCKENXX02,S4D1,2035,0.13
GLOBAL,ELCKENXX02,S4D1,2036,0.13
GLOBAL,ELCKENXX02,S4D1,2037,0.13
GLOBAL,ELCKENXX02,S4D1,2038,0.13
GLOBAL,ELCKENXX02,S4D1,2039,0.13
GLOBAL,ELCKENXX02,S4D1,2040,0.13
GLOBAL,ELCKENXX02,S4D2,2020,0.13
GLOBAL,ELCKENXX02,S4D2,2021,0.13
GLOBAL,ELCKENXX02,S4D2,2022,0.13
GLOBAL,ELCKENXX02,S4D2,2023,0.13
GLOBAL,ELCKENXX02,S4D2,2024,0.13
GLOBAL,ELCKENXX02,S4D2,2025,0.13
GLOBAL,ELCKENXX02,S4D2,2026,0.13
GLOBAL,ELCKENXX02,S4D2,2027,0.13
GLOBAL,ELCKENXX02,S4D2,2028,0.13
GLOBAL,ELCKENXX02,S4D2,2029,0.13
GLOBAL,ELCKENXX02,S4D2,2030,0.13
GLOBAL,ELCKENXX02,S4D2,2031,0.13
GLOBAL,ELCKENXX02,S4D2,2032,0.13
GLOBAL,ELCKENXX02,S4D2,2033,0.13
GLOBAL,ELCKENXX02,S4D2,2034,0.13
GLOBAL,ELCKENXX02,S4D2,2035,0.13
GLOBAL,ELCKENXX02,S4D2,2036,0.13
GLOBAL,ELCKENXX02,S4D2,2037,0.13
GLOBAL,ELCKENXX02,S4D2,2038,0.13
GLOBAL,ELCKENXX02,S4D2,2039,0.13
GLOBAL,ELCKENXX02,S4D2,2040,0.13
