REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINOILINT,2,2025,1.198133093
GLOBAL,MINOILINT,1,2026,1.247927968
GLOBAL,MINOILINT,2,2026,1.247927968
GLOBAL,MINOILINT,1,2027,1.297722843
GLOBAL,MINOILINT,2,2027,1.297722843
GLOBAL,MINOILINT,1,2028,1.347517718
GLOBAL,MINOILINT,2,2028,1.347517718
GLOBAL,MINOILINT,1,2029,1.397312593
GLOBAL,MINOILINT,2,2029,1.397312593
GLOBAL,MINOILINT,1,2030,1.447107468
GLOBAL,MINOILINT,2,2030,1.447107468
GLOBAL,MINOILINT,1,2031,1.447107468
GLOBAL,MINOILINT,2,2031,1.447107468
GLOBAL,MINOILINT,1,2032,1.447107468
GLOBAL,MINOILINT,2,2032,1.447107468
GLOBAL,MINOILINT,1,2033,1.447107468
GLOBAL,MINOILINT,2,2033,1.447107468
GLOBAL,MINOILINT,1,2034,1.447107468
GLOBAL,MINOILINT,2,2034,1.447107468
GLOBAL,MINOILINT,1,2035,1.447107468
GLOBAL,MINOILINT,2,2035,1.447107468
GLOBAL,MINOILINT,1,2036,1.447107468
GLOBAL,MINOILINT,2,2036,1.447107468
GLOBAL,MINOILINT,1,2037,1.447107468
GLOBAL,MINOILINT,2,2037,1.447107468
GLOBAL,MINOILINT,1,2038,1.447107468
GLOBAL,MINOILINT,2,2038,1.447107468
GLOBAL,MINOILINT,1,2039,1.447107468
GLOBAL,MINOILINT,2,2039,1.447107468
GLOBAL,MINOILINT,1,2040,1.447107468
GLOBAL,MINOILINT,2,2040,1.447107468
GLOBAL,MINOTHKEN,1,2020,5.77733273
GLOBAL,MINOTHKEN,2,2020,5.77733273
GLOBAL,MINOTHKEN,1,2021,6.823794059
GLOBAL,MINOTHKEN,2,2021,6.823794059
GLOBAL,MINOTHKEN,1,2022,7.103273853
GLOBAL,MINOTHKEN,2,2022,7.103273853
GLOBAL,MINOTHKEN,1,2023,7.38989326
GLOBAL,MINOTHKEN,2,2023,7.38989326
GLOBAL,MINOTHKEN,1,2024,7.684447096
GLOBAL,MINOTHKEN,2,2024,7.684447096
GLOBAL,MINOTHKEN,1,2025,7.987553951
GLOBAL,MINOTHKEN,2,2025,7.987553951
GLOBAL,MINOTHKEN,1,2026,8.319519784
GLOBAL,MINOTHKEN,2,2026,8.319519784
GLOBAL,MINOTHKEN,1,2027,8.651485618
GLOBAL,MINOTHKEN,2,2027,8.651485618
GLOBAL,MINOTHKEN,1,2028,8.983451452
GLOBAL,MINOTHKEN,2,2028,8.983451452
GLOBAL,MINOTHKEN,1,2029,9.315417286
GLOBAL,MINOTHKEN,2,2029,9.315417286
GLOBAL,MINOTHKEN,1,2030,9.64738312
GLOBAL,MINOTHKEN,2,2030,9.64738312
GLOBAL,MINOTHKEN,1,2031,9.64738312
GLOBAL,MINOTHKEN,2,2031,9.64738312
GLOBAL,MINOTHKEN,1,2032,9.64738312
GLOBAL,MINOTHKEN,2,2032,9.64738312
GLOBAL,MINOTHKEN,1,2033,9.64738312
GLOBAL,MINOTHKEN,2,2033,9.64738312
GLOBAL,MINOTHKEN,1,2034,9.64738312
GLOBAL,MINOTHKEN,2,2034,9.64738312
GLOBAL,MINOTHKEN,1,2035,9.64738312
GLOBAL,MINOTHKEN,2,2035,9.64738312
GLOBAL,MINOTHKEN,1,2036,9.64738312
GLOBAL,MINOTHKEN,2,2036,9.64738312
GLOBAL,MINOTHKEN,1,2037,9.64738312
GLOBAL,MINOTHKEN,2,2037,9.64738312
GLOBAL,MINOTHKEN,1,2038,9.64738312
GLOBAL,MINOTHKEN,2,2038,9.64738312
GLOBAL,MINOTHKEN,1,2039,9.64738312
GLOBAL,MINOTHKEN,2,2039,9.64738312
GLOBAL,MINOTHKEN,1,2040,9.64738312
GLOBAL,MINOTHKEN,2,2040,9.64738312
GLOBAL,MINOTHINT,1,2020,0.866599909
GLOBAL,MINOTHINT,2,2020,0.866599909
GLOBAL,MINOTHINT,1,2021,1.023569109
GLOBAL,MINOTHINT,2,2021,1.023569109
GLOBAL,MINOTHINT,1,2022,1.065491078
GLOBAL,MINOTHINT,2,2022,1.065491078
GLOBAL,MINOTHINT,1,2023,1.108483989
GLOBAL,MINOTHINT,2,2023,1.108483989
GLOBAL,MINOTHINT,1,2024,1.152667064
GLOBAL,MINOTHINT,2,2024,1.152667064
GLOBAL,MINOTHINT,1,2025,1.198133093
GLOBAL,MINOTHINT,2,2025,1.198133093
GLOBAL,MINOTHINT,1,2026,1.247927968
GLOBAL,MINOTHINT,2,2026,1.247927968
GLOBAL,MINOTHINT,1,2027,1.297722843
GLOBAL,MINOTHINT,2,2027,1.297722843
GLOBAL,MINOTHINT,1,2028,1.347517718
GLOBAL,MINOTHINT,2,2028,1.347517718
GLOBAL,MINOTHINT,1,2029,1.397312593
GLOBAL,MINOTHINT,2,2029,1.397312593
GLOBAL,MINOTHINT,1,2030,1.447107468
GLOBAL,MINOTHINT,2,2030,1.447107468
GLOBAL,MINOTHINT,1,2031,1.447107468
GLOBAL,MINOTHINT,2,2031,1.447107468
GLOBAL,MINOTHINT,1,2032,1.447107468
GLOBAL,MINOTHINT,2,2032,1.447107468
GLOBAL,MINOTHINT,1,2033,1.447107468
GLOBAL,MINOTHINT,2,2033,1.447107468
GLOBAL,MINOTHINT,1,2034,1.447107468
GLOBAL,MINOTHINT,2,2034,1.447107468
GLOBAL,MINOTHINT,1,2035,1.447107468
GLOBAL,MINOTHINT,2,2035,1.447107468
GLOBAL,MINOTHINT,1,2036,1.447107468
GLOBAL,MINOTHINT,2,2036,1.447107468
GLOBAL,MINOTHINT,1,2037,1.447107468
GLOBAL,MINOTHINT,2,2037,1.447107468
GLOBAL,MINOTHINT,1,2038,1.447107468
GLOBAL,MINOTHINT,2,2038,1.447107468
GLOBAL,MINOTHINT,1,2039,1.447107468
GLOBAL,MINOTHINT,2,2039,1.447107468
GLOBAL,MINOTHINT,1,2040,1.447107468
GLOBAL,MINOTHINT,2,2040,1.447107468
GLOBAL,MINPETKEN,1,2020,5.77733273
GLOBAL,MINPETKEN,2,2020,5.77733273
GLOBAL,MINPETKEN,1,2021,6.823794059
GLOBAL,MINPETKEN,2,2021,6.823794059
GLOBAL,MINPETKEN,1,2022,7.103273853
GLOBAL,MINPETKEN,2,2022,7.103273853
GLOBAL,MINPETKEN,1,2023,7.38989326
GLOBAL,MINPETKEN,2,2023,7.38989326
GLOBAL,MINPETKEN,1,2024,7.684447096
GLOBAL,MINPETKEN,2,2024,7.684447096
GLOBAL,MINPETKEN,1,2025,7.987553951
GLOBAL,MINPETKEN,2,2025,7.987553951
GLOBAL,MINPETKEN,1,2026,8.319519784
GLOBAL,MINPETKEN,2,2026,8.319519784
GLOBAL,MINPETKEN,1,2027,8.651485618
GLOBAL,MINPETKEN,2,2027,8.651485618
GLOBAL,MINPETKEN,1,2028,8.983451452
GLOBAL,MINPETKEN,2,2028,8.983451452
GLOBAL,MINPETKEN,1,2029,9.315417286
GLOBAL,MINPETKEN,2,2029,9.315417286
GLOBAL,MINPETKEN,1,2030,9.64738312
GLOBAL,MINPETKEN,2,2030,9.64738312
GLOBAL,MINPETKEN,1,2031,9.64738312
GLOBAL,MINPETKEN,2,2031,9.64738312
GLOBAL,MINPETKEN,1,2032,9.64738312
GLOBAL,MINPETKEN,2,2032,9.64738312
GLOBAL,MINPETKEN,1,2033,9.64738312
GLOBAL,MINPETKEN,2,2033,9.64738312
GLOBAL,MINPETKEN,1,2034,9.64738312
GLOBAL,MINPETKEN,2,2034,9.64738312
GLOBAL,MINPETKEN,1,2035,9.64738312
GLOBAL,MINPETKEN,2,2035,9.64738312
GLOBAL,MINPETKEN,1,2036,9.64738312
GLOBAL,MINPETKEN,2,2036,9.64738312
GLOBAL,MINPETKEN,1,2037,9.64738312
GLOBAL,MINPETKEN,2,2037,9.64738312
GLOBAL,MINPETKEN,1,2038,9.64738312
GLOBAL,MINPETKEN,2,2038,9.64738312
GLOBAL,MINPETKEN,1,2039,9.64738312
GLOBAL,MINPETKEN,2,2039,9.64738312
GLOBAL,MINPETKEN,1,2040,9.64738312
GLOBAL,MINPETKEN,2,2040,9.64738312
GLOBAL,MINPETINT,1,2020,0.866599909
GLOBAL,MINPETINT,2,2020,0.866599909
GLOBAL,MINPETINT,1,2021,1.023569109
GLOBAL,MINPETINT,2,2021,1.023569109
GLOBAL,MINPETINT,1,2022,1.065491078
GLOBAL,MINPETINT,2,2022,1.065491078
GLOBAL,MINPETINT,1,2023,1.108483989
GLOBAL,MINPETINT,2,2023,1.108483989
GLOBAL,MINPETINT,1,2024,1.152667064
GLOBAL,MINPETINT,2,2024,1.152667064
GLOBAL,MINPETINT,1,2025,1.198133093
GLOBAL,MINPETINT,2,2025,1.198133093
GLOBAL,MINPETINT,1,2026,1.247927968
GLOBAL,MINPETINT,2,2026,1.247927968
GLOBAL,MINPETINT,1,2027,1.297722843
GLOBAL,MINPETINT,2,2027,1.297722843
GLOBAL,MINPETINT,1,2028,1.347517718
GLOBAL,MINPETINT,2,2028,1.347517718
GLOBAL,MINPETINT,1,2029,1.397312593
GLOBAL,MINPETINT,2,2029,1.397312593
GLOBAL,MINPETINT,1,2030,1.447107468
GLOBAL,MINPETINT,2,2030,1.447107468
GLOBAL,MINPETINT,1,2031,1.447107468
GLOBAL,MINPETINT,2,2031,1.447107468
GLOBAL,MINPETINT,1,2032,1.447107468
GLOBAL,MINPETINT,2,2032,1.447107468
GLOBAL,MINPETINT,1,2033,1.447107468
GLOBAL,MINPETINT,2,2033,1.447107468
GLOBAL,MINPETINT,1,2034,1.447107468
GLOBAL,MINPETINT,2,2034,1.447107468
GLOBAL,MINPETINT,1,2035,1.447107468
GLOBAL,MINPETINT,2,2035,1.447107468
GLOBAL,MINPETINT,1,2036,1.447107468
GLOBAL,MINPETINT,2,2036,1.447107468
GLOBAL,MINPETINT,1,2037,1.447107468
GLOBAL,MINPETINT,2,2037,1.447107468
GLOBAL,MINPETINT,1,2038,1.447107468
GLOBAL,MINPETINT,2,2038,1.447107468
GLOBAL,MINPETINT,1,2039,1.447107468
GLOBAL,MINPETINT,2,2039,1.447107468
GLOBAL,MINPETINT,1,2040,1.447107468
GLOBAL,MINPETINT,2,2040,1.447107468
GLOBAL,LNDAGRKENC01,27,2020,-5
GLOBAL,LNDAGRKENC01,27,2021,-5
GLOBAL,LNDAGRKENC01,27,2022,-5
GLOBAL,LNDAGRKENC01,27,2023,-5
GLOBAL,LNDAGRKENC01,27,2024,-5
GLOBAL,LNDAGRKENC01,27,2025,-5
GLOBAL,LNDAGRKENC01,27,2026,-5
GLOBAL,LNDAGRKENC01,27,2027,-5
GLOBAL,LNDAGRKENC01,27,2028,-5
GLOBAL,LNDAGRKENC01,27,2029,-5
GLOBAL,LNDAGRKENC01,27,2030,-5
GLOBAL,LNDAGRKENC01,27,2031,-5
GLOBAL,LNDAGRKENC01,27,2032,-5
GLOBAL,LNDAGRKENC01,27,2033,-5
GLOBAL,LNDAGRKENC01,27,2034,-5
GLOBAL,LNDAGRKENC01,27,2035,-5
GLOBAL,LNDAGRKENC01,27,2036,-5
GLOBAL,LNDAGRKENC01,27,2037,-5
GLOBAL,LNDAGRKENC01,27,2038,-5
GLOBAL,LNDAGRKENC01,27,2039,-5
GLOBAL,LNDAGRKENC01,27,2040,-5
GLOBAL,LNDAGRKENC02,27,2020,-5
GLOBAL,LNDAGRKENC02,27,2021,-5
GLOBAL,LNDAGRKENC02,27,2022,-5
GLOBAL,LNDAGRKENC02,27,2023,-5
GLOBAL,LNDAGRKENC02,27,2024,-5
GLOBAL,LNDAGRKENC02,27,2025,-5
GLOBAL,LNDAGRKENC02,27,2026,-5
